Datetime,Tweet ID,Text,Username,Score
"""2016-09-18 18:03:44+00:00""",7.78E+17,"""@nicshields honestly most of it is fine, just when you finally get to one-north there's the damn shuttle bus.""","""mmmonkman""",-0.1531
"""2016-05-17 00:32:05+00:00""",7.32E+17,"""Idk why im so happy one-north added a new bus shuttle service. Am i auntified already""","""ztyrsln""",-0.1531
"""2015-07-22 13:24:57+00:00""",6.24E+17,"""Fuck One-North and the whole Biopolis area. PSA: the last bus at Infinite Studios is 8.15pm. Whatthefuck.""","""McAntlers""",-0.0516
"""2012-04-18 01:47:17+00:00""",1.92E+17,"""There is also free shuttle bus services now if you're stuck between One-North and Bishan Circle Line stations, accrdg to SMRT. #Singapore""","""winning1313""",0.2263
"""2012-04-18 01:41:15+00:00""",1.92E+17,"""#circlelinedown images RT @ytbryan: Shuttle bus from bishan station to one-north.""","""mrbrown""",0.2732
"""2012-04-18 01:25:10+00:00""",1.92E+17,"""Wah Lau. No trains to one-north station. This is the ultimate delay. Taking bus now. :|""","""ytbryan""",0.3182
"""2012-04-18 01:24:02+00:00""",1.92E+17,"""I wonder if the trains r working from bueno vista to one-north... Hmmmmm... May have to catch the bus or walk.""","""SharonApple2000""",0.4404
"""2012-04-11 11:31:32+00:00""",1.90E+17,"""@kensim Ahhhh. Cheh. Cos at the time of your tweet, I was on the circle line at one-north! Bus sucks during peak hours man..""","""ashleyritawong""",0.5202
"""2011-12-14 01:05:58+00:00""",1.47E+17,"""@kensim Ahhhh. Cheh. Cos at the time of your tweet, I was on the circle line at one-north! Bus sucks during peak hours man..""","""ashleyritawong""",0.534
"""2011-12-14 01:05:58+00:00""",1.47E+17,"""I rather pay for train fare than taking free shuttle bus from serangoon to one-north like a seriously.""","""emilie_emk""",0.6103
"""2011-11-12 07:41:46+00:00""",1.35E+17,"""So near yet so far. Reached One-north n I'm abt 3 bus stops away. But now stuck at fusion polis cos of heavy rain. Argh!""","""candymoshi""",0.6369
2018-12-31 19:34:09+00:00,1.08E+18,"So in that journey from Promenade to Haw Par Villa, my battery died so i fell asleep in the train. Felt kinda good till the MRT guy woke me up and told me the train ended. it was 3am and IT ENDED 2 STOPS AWAY AT ONE-NORTH AND I THOUGHT I COULD TAKE A CAB BACK FROM THERE",mdhfn,-0.5202
2020-10-14 11:55:59+00:00,1.32E+18,I think there's a major power fault affecting a lot of MRT lines in Singapore. one-North station which is the circle line has stopped services. Take note. And follow @SMRT_Singapore for more updates. Either that or angry Singaporean tweets hahaha. inconvenient,JoakimGomez,-0.5149
2018-04-19 01:23:13+00:00,9.87E+17,One-north TOP 10 worst MRT stations,Sonic_Tardis,-0.5106
2020-02-24 01:27:53+00:00,1.23E+18,"Damn, a private bus got its interior and top half completely burned up, near one-north MRT station",bryandmlee,-0.4215
2019-12-31 15:34:41+00:00,1.21E+18," the dream of working in one-north zone, bc its close to my house and a fairly decent area to work at....versus some weird industrial area that has no mrt",CyanRhapsody,-0.4134
2018-07-19 09:59:21+00:00,1.02E+18,@chicken_guy Still no pedestrian crossing for JTC LaunchPad @ one-north yet it's the main pedestrian route from MRT. Come on @jtccorp @LTAsg  @SmartNationSG this is low hanging fruit for smart nation #progress,paulsputer,-0.3531
2020-09-16 06:20:49+00:00,1.31E+18,"Strategically located in one-north near Buona Vista MRT interchange, Rochester Commons will provide a one-campus opportunity with workspace, habitat, hangout and learning components all integrated in a single location.",greatnewplaces,0.2263
2019-11-12 10:49:25+00:00,1.19E+18,This old man took mrt at one-North had the nerve to push me? Dude. The cabin is full. F U L L FULL. PUSH  SOME MORE. SLAP YOUR FACE,RRdzan,0.3182
2020-02-24 04:18:05+00:00,1.23E+18,Bus catches fire at one-north,ChannelNewsAsia,-0.34
2020-02-24 04:16:34+00:00,1.23E+18,Bus catches fire at one-north,AndyVermaut,-0.34
2020-02-24 01:27:53+00:00,1.23E+18,"Damn, a private bus got its interior and top half completely burned up, near one-north MRT station",bryandmlee,-0.296
2019-03-02 11:01:38+00:00,1.10E+18,moovit singapore provide wrong info for my trip last night. asked to take circle line 715pm SMRT_Singapore labrador to one-north and wait at 18051 for 739pm transtar travel TS6A bus to Changi Airport eta 815pm. the bus didnt arrived n had to grab to airport,palmoswince,-0.2263
2018-04-30 00:00:00+00:00,9.91E+17,First-of-a-kind drone showcase at first Car-Free Sunday at one-north,TODAYonline,0.6486
2018-04-29 11:00:26+00:00,9.91E+17,First-of-a-kind drone showcase at first Car-Free Sunday at one-north,SGTweetings,0.6486
2018-04-29 02:17:57+00:00,9.90E+17,CarFree Sunday at One-North. @ one-north MRT Station,MightyVeloSG,0.6486
2018-04-27 13:00:05+00:00,9.90E+17,"Here comes the weekend! This Sunday, fly drones through an obstacle course or have your photos taken from a drone at Car Free Sunday (One-North)!",JustFlyIt,0.6486
2018-04-27 08:42:28+00:00,9.90E+17,"#WeekendPicks: The inaugural 'Keep Clean, Singapore! Walk' at Car-Free Sunday SG will be taking place on Sunday, 29 April at one-north! Co-organised by JTC & URA, this will be the first Car-Free Sunday outside...",MSEsingapore,0.6486
2018-04-27 05:30:28+00:00,9.90E+17,The weekend is here! We have a drone-filled #CarFreeSundaySG planned for you. Drone enthusiasts can fly your drones at a designated safe flying zone @ one-north this Sunday. Drone-flying instructors will also be available for tips on drone flying.y,SingaporeCAAS,0.6486
2018-04-27 03:56:31+00:00,9.90E+17,Don't miss out on the drone showcase @ one-north this Sunday! Register now and take part in fun activities like Drone Workshops and the indoor Drone Challenge onsite. Limited spaces are available so head over to the Matrix early.,SingaporeCAAS,0.6486
2018-04-26 02:48:25+00:00,9.89E+17,"In conjunction with #CarFreeSundaySG @ one-north on 29 April 2018, CAAS is organising Singapore's first drone showcase. We have a fun-filled programme planned, from drone challenges, drone aerial demonstrations to static displays.",SingaporeCAAS,0.6486
2018-04-24 11:57:14+00:00,9.89E+17,"No cars, but drones to take to the sky at Car-Free SG on April 29 #drone #DRONES SINGAPORE - While the roads will be free of cars at one-north for the Car-Free Sunday SG event on April 29, the skies will be abuzz with drones. In a first, the Civil Aviati2026",LiveEdges,0.6486
2018-04-19 01:23:13+00:00,9.87E+17,One-north TOP 10 worst MRT stations,Sonic_Tardis,0.6486
2018-04-03 15:24:42+00:00,9.81E+17,One-North architecture and art are so fine,AF_Xpress,0.6486
2018-03-29 11:28:49+00:00,9.79E+17,New Robotics Centre launched at  JTC LaunchPad at one-north to support #robotics & automation #startups in #Singapore #Innovation #SmartNation #SmartCity #Industry40 #4IR #SmartCities #GovTech #Automation #SmartFactory,Lochoffs,0.6486
2018-03-29 03:11:23+00:00,9.79E+17,I'm at Nexus@one-north in Singapore ,_jlyj,0.6486
2018-03-28 18:48:22+00:00,9.79E+17,new  #robotics  #centre  #launched at one-north to  #support  #robotics & #automation  #startups in  #singapore ,SidMehta91,0.6486
2018-03-28 13:39:03+00:00,9.79E+17,"Something to ponder upon. Please read. Danjuma: Ugliness Is The Beauty Of Northern Nigeria By Lasisi Olagunju March 26,  2018 The oppressive one-North is on its death-bed. General Yakubu Danjuma sang...",atbako,0.6486
2018-03-28 09:39:32+00:00,9.79E+17,New #Robotics Centre launched at  JTC LaunchPad @ one-north to support robotics; #automation startups in #Singapore #smartnation,OpenGov_Asia,0.6486
2018-03-27 12:24:07+00:00,9.79E+17,SINGAPORE - Car-Free Sunday SG will move out of the Civic District for the first time with a special edition of the popular event to be held in one-north next month....,SgHeritage_Soc,0.6486
2018-03-26 18:40:53+00:00,9.78E+17,Car-Free Sunday goes to one-north for the first time,bellaella7,0.6486
2018-03-26 07:47:13+00:00,9.78E+17,Car-Free Sunday goes to one-north,thenewpaper,0.6486
2018-03-25 21:30:34+00:00,9.78E+17,Car-Free Sunday to go to one-north,singaporeinform,0.6486
2018-03-25 12:38:06+00:00,9.78E+17,Car-Free Sunday goes to one-north for the first time,bellaella7,0.6486
2018-03-25 06:55:07+00:00,9.78E+17,Car-Free Sunday will move out of the Civic District for the first time next month to one-north: URAsg jtccorp,Power98News,0.6486
2018-03-25 03:28:06+00:00,9.78E+17,Car-Free Sunday goes to one-north for the first time,singaporeinform,0.6486
2018-02-15 05:05:43+00:00,9.64E+17,"one-north, S'pore's first drone estate, will provide a space for test-bedding of innovative drone solutions:",SmartNationSG,0.6486
2018-02-14 14:09:58+00:00,9.64E+17,One-north unveiled as first drone estate: Other innovative projects that have t... #autonomousCar #selfDrivingCar,SelfDrivingFEED,0.6486
2018-02-14 10:33:47+00:00,9.64E+17,The one-north area near Buona Vista in Singapore to host trials involving the use of unmanned aircraft systems(UAS) for parcel deliveries. #Export #import #AirFreight #DomesticFreight #OceanFreight #Goods #NVOCC #IATA #USA #CargoInsurance #CustomsClearance #Shipment,GglSingapore,0.6486
2018-02-13 04:46:28+00:00,9.63E+17,Cycling to office from one-north mrt station.,egyikfan,0.6486
2018-02-12 01:30:06+00:00,9.63E+17,"Singapore Government designates One-North district as the country's first drone estate, in which tests can be carried out, and inks several partnerships to tap technologies such as #AI to enhance air traffic management.",reworkshems,0.6486
2018-02-11 06:38:00+00:00,9.63E+17,"Parcel delivery from a ""flying"" postman? That could be the case for the people in One-north, which was recently announced as the first designated #drone estate in Singapore:",exxonmobil_sg,0.6486
2018-02-10 13:18:14+00:00,9.62E+17,Drone trials to take place at one-north,slnged,0.6486
2018-02-09 09:25:04+00:00,9.62E+17,Drone trials to take place at one-north - Channel NewsAsia,UAV_news,0.6486
2018-02-09 06:42:13+00:00,9.62E+17,"Five Projects Named for Singapore's Drone Estate: Plans to designate one-north, a 200HA ",UAS_VISION,0.6486
2018-02-09 05:26:53+00:00,9.62E+17,Drone trials to take place at one-north ,UAV_news,0.6486
2018-02-09 02:34:37+00:00,9.62E+17,Drone trials to take place at one-north,UAV_news,0.6486
2018-02-09 01:49:57+00:00,9.62E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",UAV_news,0.6486
2018-02-08 23:30:00+00:00,9.62E+17,What do you think about Singapore's One-north becoming a drone-estate?,TechWireAsia,0.6486
2018-02-08 13:59:31+00:00,9.62E+17,One-north designated as Singapore's first #drone estate connected2india #UAS,UAS_Insights,0.6486
2018-02-08 08:13:24+00:00,9.62E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate businesstimes",ISSNUS,0.6486
2018-02-08 07:04:14+00:00,9.61E+17,One-north designated as Singapore's first drone estate connected2india,JaefooBooks,0.6486
2018-02-08 02:10:16+00:00,9.61E+17,One-north designated as Singapore's first drone estate,IndianDrones,0.6486
2018-02-07 14:09:10+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate, Transport ",DroneNewsFeed,0.6486
2018-02-07 10:00:38+00:00,9.61E+17,"#TECH #INNOVATION Singapore designates area for drone tests, explores new tech for air traffic management - Government designates One-North district as the country's first drone estate, in which tests can be carried out, and inks several partnerships ...",dougbrownDBA,0.6486
2018-02-07 10:00:00+00:00,9.61E+17,Drone trials to take place at one-north,DawnTanCNA,0.6486
2018-02-07 09:56:00+00:00,9.61E+17,Drone trials to take place at one-north,alriyadhdaily,0.6486
2018-02-07 09:45:55+00:00,9.61E+17,"News Update: Singapore designates area for drone tests, explores new tech for air traffic management - Government designates One-North district as the country's first drone estate, in which tests can be carried out, and inks several partnerships to ta... ",ManishMalladi,0.6486
2018-02-07 09:15:41+00:00,9.61E+17,"via #ZDnet: Singapore designates area for drone tests, explores new tech for air traffic management - Government designates One-North district as the country's first drone estate, in which tests can be carried out, and inks several partnerships to tap... ",semantia,0.6486
2018-02-07 08:45:32+00:00,9.61E+17,"Singapore designates area for drone tests, explores new tech for air traffic management - Government designates One-North district as the country's first drone estate, in which tests can be carried out, and inks several partnerships to tap technologie...",etrixIT,0.6486
2018-02-07 08:01:17+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate #DRONES",LiveEdges,0.6486
2018-02-07 07:00:01+00:00,9.61E+17,"Singapore's first drone estate to see tests for aerial drone parcel delivery. The next time you're in the one-north area, don't be shocked to see drones whizzing past above you. ",,0.6486
2018-02-07 05:41:01+00:00,9.61E+17,Drone trials to take place at one-north ,GlobalProdRview,0.6486
2018-02-07 05:35:38+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",GlobalProdRview,0.6486
2018-02-07 04:57:07+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate | DroneGames - #drones",dronegamescom,0.6486
2018-02-07 04:56:53+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",droneblog,0.6486
2018-02-07 04:54:12+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",drone_sport,0.6486
2018-02-07 04:53:07+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",drone_reviews,0.6486
2018-02-07 04:50:36+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate ",drone_school,0.6486
2018-02-07 04:49:21+00:00,9.61E+17,"Five technology trials to kick off at one-north, Singapore's first drone estate",dronepilots,0.6588
